Elapsed_time,Sample,Type,Sub,Chan,Num,Aux
 2:30:00.188,2250047,     N,    0,    0,    0,
 2:30:00.984,2250246,     N,    0,    0,    0,
 2:30:01.772,2250443,     N,    0,    0,    0,
 2:30:02.560,2250640,     N,    0,    0,    0,
 2:30:03.352,2250838,     N,    0,    0,    0,
 2:30:04.128,2251032,     N,    0,    0,    0,
 2:30:04.912,2251228,     N,    0,    0,    0,
 2:30:05.704,2251426,     N,    0,    0,    0,
 2:30:06.492,2251623,     N,    0,    0,    0,
 2:30:06.904,2251726,     V,    0,    0,    0,
 2:30:08.116,2252029,     N,    0,    0,    0,
 2:30:08.916,2252229,     N,    0,    0,    0,
 2:30:09.716,2252429,     N,    0,    0,    0,
 2:30:10.500,2252625,     N,    0,    0,    0,
 2:30:11.288,2252822,     N,    0,    0,    0,
 2:30:12.080,2253020,     N,    0,    0,    0,
 2:30:12.864,2253216,     N,    0,    0,    0,
 2:30:13.652,2253413,     N,    0,    0,    0,
 2:30:14.424,2253606,     N,    0,    0,    0,
 2:30:15.204,2253801,     N,    0,    0,    0,
 2:30:16.016,2254004,     N,    0,    0,    0,
 2:30:16.820,2254205,     N,    0,    0,    0,
 2:30:17.636,2254409,     N,    0,    0,    0,
 2:30:18.452,2254613,     N,    0,    0,    0,
 2:30:19.304,2254826,     N,    0,    0,    0,
 2:30:19.704,2254926,     V,    0,    0,    0,
 2:30:21.028,2255257,     N,    0,    0,    0,
 2:30:21.884,2255471,     N,    0,    0,    0,
 2:30:22.728,2255682,     N,    0,    0,    0,
 2:30:23.572,2255893,     N,    0,    0,    0,
 2:30:24.424,2256106,     N,    0,    0,    0,
 2:30:25.272,2256318,     N,    0,    0,    0,
 2:30:26.124,2256531,     N,    0,    0,    0,
 2:30:26.948,2256737,     N,    0,    0,    0,
 2:30:27.780,2256945,     N,    0,    0,    0,
 2:30:28.628,2257157,     N,    0,    0,    0,
 2:30:29.480,2257370,     N,    0,    0,    0,
 2:30:30.336,2257584,     N,    0,    0,    0,
 2:30:30.796,2257699,     V,    0,    0,    0,
 2:30:32.092,2258023,     N,    0,    0,    0,
 2:30:32.968,2258242,     N,    0,    0,    0,
 2:30:33.828,2258457,     N,    0,    0,    0,
 2:30:34.688,2258672,     N,    0,    0,    0,
 2:30:35.580,2258895,     N,    0,    0,    0,
 2:30:36.468,2259117,     N,    0,    0,    0,
 2:30:37.352,2259338,     N,    0,    0,    0,
 2:30:38.252,2259563,     N,    0,    0,    0,
 2:30:39.116,2259779,     N,    0,    0,    0,
 2:30:39.520,2259880,     V,    0,    0,    0,
 2:30:40.884,2260221,     N,    0,    0,    0,
 2:30:41.768,2260442,     N,    0,    0,    0,
 2:30:42.620,2260655,     N,    0,    0,    0,
 2:30:43.476,2260869,     N,    0,    0,    0,
 2:30:44.324,2261081,     N,    0,    0,    0,
 2:30:45.172,2261293,     N,    0,    0,    0,
 2:30:45.996,2261499,     N,    0,    0,    0,
 2:30:46.820,2261705,     N,    0,    0,    0,
 2:30:47.660,2261915,     N,    0,    0,    0,
 2:30:48.516,2262129,     N,    0,    0,    0,
 2:30:49.392,2262348,     N,    0,    0,    0,
 2:30:50.252,2262563,     N,    0,    0,    0,
 2:30:51.128,2262782,     N,    0,    0,    0,
 2:30:52.040,2263010,     N,    0,    0,    0,
 2:30:52.932,2263233,     N,    0,    0,    0,
 2:30:53.432,2263358,     V,    0,    0,    0,
 2:30:54.704,2263676,     N,    0,    0,    0,
 2:30:55.580,2263895,     N,    0,    0,    0,
 2:30:56.444,2264111,     N,    0,    0,    0,
 2:30:57.300,2264325,     N,    0,    0,    0,
 2:30:58.132,2264533,     N,    0,    0,    0,
 2:30:58.992,2264748,     N,    0,    0,    0,
 2:30:59.844,2264961,     N,    0,    0,    0,
 2:31:00.680,2265170,     N,    0,    0,    0,
 2:31:01.508,2265377,     N,    0,    0,    0,
 2:31:02.360,2265590,     N,    0,    0,    0,
 2:31:02.836,2265709,     V,    0,    0,    0,
 2:31:04.132,2266033,     N,    0,    0,    0,
 2:31:04.976,2266244,     N,    0,    0,    0,
 2:31:05.844,2266461,     N,    0,    0,    0,
 2:31:06.716,2266679,     N,    0,    0,    0,
 2:31:07.572,2266893,     N,    0,    0,    0,
 2:31:08.424,2267106,     N,    0,    0,    0,
 2:31:09.276,2267319,     N,    0,    0,    0,
 2:31:10.144,2267536,     N,    0,    0,    0,
 2:31:11.024,2267756,     N,    0,    0,    0,
 2:31:11.900,2267975,     N,    0,    0,    0,
 2:31:12.784,2268196,     N,    0,    0,    0,
 2:31:13.692,2268423,     N,    0,    0,    0,
 2:31:14.620,2268655,     N,    0,    0,    0,
 2:31:15.528,2268882,     N,    0,    0,    0,
 2:31:16.432,2269108,     N,    0,    0,    0,
 2:31:17.356,2269339,     N,    0,    0,    0,
 2:31:18.256,2269564,     N,    0,    0,    0,
 2:31:19.144,2269786,     N,    0,    0,    0,
 2:31:20.024,2270006,     N,    0,    0,    0,
 2:31:20.916,2270229,     N,    0,    0,    0,
 2:31:21.796,2270449,     N,    0,    0,    0,
 2:31:22.664,2270666,     N,    0,    0,    0,
 2:31:23.520,2270880,     N,    0,    0,    0,
 2:31:24.412,2271103,     N,    0,    0,    0,
 2:31:25.304,2271326,     N,    0,    0,    0,
 2:31:26.196,2271549,     N,    0,    0,    0,
 2:31:27.064,2271766,     N,    0,    0,    0,
 2:31:27.936,2271984,     N,    0,    0,    0,
 2:31:28.812,2272203,     N,    0,    0,    0,
 2:31:29.696,2272424,     N,    0,    0,    0,
 2:31:30.552,2272638,     N,    0,    0,    0,
 2:31:31.428,2272857,     N,    0,    0,    0,
 2:31:31.864,2272966,     V,    0,    0,    0,
 2:31:33.200,2273300,     N,    0,    0,    0,
