  Seconds   Minutes     Hours  Type,Sub,Chan,Num,Aux
    0.000,  0.00000,0.0000000,     ",    0,    0,    0,,## time resolution: 128
    0.000,  0.00000,0.0000000,      ,    0,    0,    0,
    0.406,  0.00677,0.0001128,     N,    0,    0,    0,
    0.930,  0.01549,0.0002582,     N,    0,    0,    0,
    1.367,  0.02279,0.0003798,     S,    0,    0,    0,
    1.969,  0.03281,0.0005469,     N,    0,    0,    0,
    2.328,  0.03880,0.0006467,     S,    0,    0,    0,
    2.953,  0.04922,0.0008203,     N,    0,    0,    0,
    3.516,  0.05859,0.0009766,     N,    0,    0,    0,
    4.039,  0.06732,0.0011220,     N,    0,    0,    0,
    4.562,  0.07604,0.0012674,     N,    0,    0,    0,
    5.078,  0.08464,0.0014106,     N,    0,    0,    0,
    5.602,  0.09336,0.0015560,     N,    0,    0,    0,
    6.117,  0.10195,0.0016992,     N,    0,    0,    0,
    6.641,  0.11068,0.0018446,     N,    0,    0,    0,
    7.125,  0.11875,0.0019792,     N,    0,    0,    0,
    7.688,  0.12812,0.0021354,     N,    0,    0,    0,
    8.109,  0.13516,0.0022526,     S,    0,    0,    0,
    8.727,  0.14544,0.0024240,     N,    0,    0,    0,
    9.094,  0.15156,0.0025260,     V,    0,    0,    0,
    9.727,  0.16211,0.0027018,     N,    0,    0,    0,
   10.289,  0.17148,0.0028581,     N,    0,    0,    0,
   10.812,  0.18021,0.0030035,     N,    0,    0,    0,
   11.258,  0.18763,0.0031272,     N,    0,    0,    0,
   11.867,  0.19779,0.0032964,     N,    0,    0,    0,
   12.234,  0.20391,0.0033984,     S,    0,    0,    0,
   12.562,  0.20938,0.0034896,     S,    0,    0,    0,
   13.148,  0.21914,0.0036523,     N,    0,    0,    0,
   13.641,  0.22734,0.0037891,     N,    0,    0,    0,
   14.148,  0.23581,0.0039301,     N,    0,    0,    0,
   14.750,  0.24583,0.0040972,     N,    0,    0,    0,
   15.109,  0.25182,0.0041970,     S,    0,    0,    0,
   15.766,  0.26276,0.0043793,     N,    0,    0,    0,
   16.320,  0.27201,0.0045334,     N,    0,    0,    0,
   16.844,  0.28073,0.0046788,     N,    0,    0,    0,
   17.375,  0.28958,0.0048264,     N,    0,    0,    0,
   17.898,  0.29831,0.0049718,     N,    0,    0,    0,
   18.430,  0.30716,0.0051194,     N,    0,    0,    0,
   18.930,  0.31549,0.0052582,     N,    0,    0,    0,
   19.469,  0.32448,0.0054080,     N,    0,    0,    0,
